,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Cloudiness,Max_Temp,Wind Speed
76,Torbay,CA,1553634115,47.66,-52.73,26.1,58,90,28.0,12.75
77,Kapaa,US,1553634497,22.08,-159.32,71.08,83,90,75.2,5.82
78,Port Hardy,CA,1553632320,50.7,-127.42,48.2,87,75,48.2,11.41
79,Kodiak,US,1553634723,39.95,-94.76,60.82,22,40,63.0,6.93
80,Buenos Aires,AR,1553634822,-34.61,-58.44,68.65,60,40,70.0,14.99
81,Manakara,MG,1553634994,-22.14,48.01,75.09,100,76,75.09,9.86
82,Sorland,NO,1553633400,67.67,12.69,30.2,92,75,30.2,14.99
83,Kruisfontein,ZA,1553634995,-34.0,24.73,58.71,86,36,58.71,6.62
84,Atuona,PF,1553634996,-9.8,-139.03,82.02,100,44,82.02,13.11
85,Ust-Maya,RU,1553634996,60.42,134.54,3.54,79,48,3.54,4.5
86,Butembo,CD,1553634996,0.12,29.29,60.6,92,0,60.6,0.02
87,Iquique,CL,1553630400,-20.22,-70.14,75.2,57,0,75.2,18.34
88,Boyolangu,ID,1553634810,-8.09,111.9,70.86,93,12,70.86,2.59
89,Marystown,CA,1553634067,47.17,-55.16,30.99,100,8,30.99,7.74
90,Evensk,RU,1553634997,61.92,159.24,15.42,100,56,15.42,13.44
91,Lorengau,PG,1553634787,-2.02,147.27,82.83,97,76,82.83,8.63
92,Tigil,RU,1553634997,57.8,158.67,15.69,82,80,15.69,5.06
93,Bluff,AU,1553634773,-23.58,149.07,75.99,78,80,75.99,7.52
94,Pevek,RU,1553634998,69.7,170.27,15.78,65,56,15.78,4.94
95,Karpathos,GR,1553633400,35.51,27.21,60.8,82,0,60.8,16.11
96,Teeli,RU,1553634999,51.01,90.2,-7.45,50,0,-7.45,2.37
97,Ixtapa,MX,1553634940,20.71,-105.21,78.91,74,5,79.0,14.99
98,Nirmali,IN,1553634999,26.31,86.57,60.96,84,0,60.96,2.93
99,Te Anau,NZ,1553635000,-45.41,167.72,49.26,95,64,49.26,9.98
100,Zonguldak,TR,1553635000,41.25,31.83,36.75,92,12,36.75,1.14
101,Chuy,UY,1553635000,-33.69,-53.46,65.64,91,88,65.64,16.24
102,Hobart,AU,1553634914,-42.88,147.33,44.65,66,0,48.99,9.17
103,Grand Baie,MU,1553634846,-20.02,57.58,77.86,88,75,78.8,4.7
104,Kaitangata,NZ,1553634761,-46.28,169.85,58.17,77,92,58.17,17.47
105,Maniitsoq,GL,1553635002,65.42,-52.9,15.33,68,0,15.33,7.96
106,East London,ZA,1553634763,-33.02,27.91,68.79,100,92,68.79,3.38
107,Musafirkhana,IN,1553635002,26.37,81.8,68.07,54,0,68.07,3.71
108,Coquimbo,CL,1553630400,-29.95,-71.34,59.0,82,75,59.0,8.05
109,Barranca,PE,1553635003,-10.75,-77.76,69.51,96,8,69.51,8.63
110,Haliyal,IN,1553635003,15.33,74.76,67.44,88,24,67.44,2.37
111,Geraldton,CA,1553630400,49.72,-86.95,39.2,21,90,39.2,17.22
112,Mount Isa,AU,1553633040,-20.73,139.49,73.4,100,90,73.4,9.17
113,Sept-Iles,CA,1553634901,50.2,-66.38,19.78,37,75,21.0,13.87
114,Sitka,US,1553634125,37.17,-99.65,66.0,52,0,66.0,15.99
115,Santa Maria,BR,1553630400,-29.69,-53.81,75.2,50,40,75.2,5.82
116,Barrow,AR,1553634780,-38.31,-60.23,63.12,59,0,63.12,6.17
117,Hermanus,ZA,1553634930,-34.42,19.24,66.76,81,80,69.01,11.99
118,Avarua,CK,1553632200,-21.21,-159.78,84.2,83,0,84.2,6.93
119,Kurskaya,RU,1553635006,44.04,44.45,34.14,90,0,34.14,7.18
120,Mar del Plata,AR,1553635007,-46.43,-67.52,72.66,40,0,72.66,6.29
121,Alofi,NU,1553630400,-19.06,-169.92,82.4,74,75,82.4,11.41
122,Yulara,AU,1553630400,-25.24,130.99,59.0,47,0,59.0,8.05
123,Faya,SA,1553630400,18.39,42.45,60.87,72,0,62.6,8.05
124,Hilo,US,1553634983,19.71,-155.08,72.64,73,90,78.01,9.17
125,Wagar,US,1553634747,31.44,-87.99,62.01,57,0,62.01,5.01
126,Georgetown,GY,1553630400,6.8,-58.16,84.38,78,40,86.0,11.41
127,San Ramon de la Nueva Oran,AR,1553635009,-23.13,-64.33,62.13,94,92,62.13,9.64
128,Paamiut,GL,1553635009,61.99,-49.67,22.71,100,44,22.71,3.83
129,Bambous Virieux,MU,1553634846,-20.34,57.76,77.72,88,75,78.8,4.7
130,Rio Gallegos,AR,1553630400,-51.62,-69.22,64.4,27,75,64.4,8.05
131,Maniwaki,CA,1553634875,46.38,-75.98,31.53,40,0,31.53,6.96
132,Henties Bay,NA,1553634131,-22.12,14.28,62.01,92,24,62.01,4.0
133,Marinette,US,1553634906,45.1,-87.63,43.2,45,1,48.0,11.41
134,Srednekolymsk,RU,1553634834,67.46,153.71,3.18,63,80,3.18,11.77
135,Ponta do Sol,BR,1553634775,-20.63,-46.0,79.59,57,76,79.59,3.04
136,Port Blair,IN,1553634786,11.67,92.75,80.49,100,80,80.49,6.06
137,Lensk,RU,1553635012,60.71,114.91,3.81,61,20,3.81,3.38
138,Broome,GB,1553635011,52.47,1.45,46.72,81,40,48.99,2.24
139,Kabinda,CD,1553635013,-6.14,24.49,69.69,92,20,69.69,4.27
140,Bethel,US,1553631060,60.79,-161.76,37.35,80,20,39.2,18.34
141,Dalvik,SE,1553635001,57.79,14.13,33.98,64,0,35.01,5.82
142,Vila Franca do Campo,PT,1553634745,37.72,-25.43,55.98,71,20,57.2,9.17
143,Nikolskoye,RU,1553634636,59.7,30.79,28.06,86,75,28.99,8.95
144,Cherskiy,RU,1553634789,68.75,161.3,9.12,75,80,9.12,14.79
145,Tessalit,ML,1553635015,20.2,1.01,83.82,21,92,83.82,7.18
146,Whitehorse,CA,1553634906,60.72,-135.06,41.65,56,75,42.01,5.82
147,Chokurdakh,RU,1553634750,70.62,147.9,-8.35,64,44,-8.35,12.88
148,Saldanha,PT,1553634757,41.42,-6.55,55.02,29,0,55.02,17.25
149,Tual,ID,1553635016,-5.67,132.75,82.38,100,44,82.38,9.98
150,Nanortalik,GL,1553635016,60.14,-45.24,24.69,100,64,24.69,27.31
151,New Norfolk,AU,1553634441,-42.78,147.06,43.97,66,0,48.2,9.17
152,Manaure,CO,1553630400,11.78,-72.45,82.4,74,0,82.4,18.34
153,Rio Brilhante,BR,1553635017,-21.8,-54.54,85.98,58,0,85.98,5.61
